ISLAND CITY MALL,,,,,,
POS UNPOSTED SALES,,,,,,
"As of APRIL 27, 2022",,,,,,
Item No.,Variant Code,Description,UOM,Quantity,Cost w/o VAT,Total Cost w/o VAT
100006,,01 ARACELLI BASIN,PCS,-7,12.20286,-85.42002
100057,,LL BTR COOKIES 250G,PACK,-5,47.76786,-238.8393
100063,,LL EGG CURLS 150G,PACK,-21,35.08929,-736.87509
100080,,302 C SOY WDIV SQR,PCS,-19,2.67861,-50.89359
100085,,1111 CRES BOWL 4.5,PCS,-8,2.73,-21.84
100086,,1112 SVNSTR BOWL 6,PCS,-16,4.55,-72.8
100087,,1212 CRES S BOWL,PCS,-6,3.17,-19.02
100131,,126 H RICE SPOON,PCS,-77,3.34819,-257.81063
100172,,SS 116 PUTO BWL S,PCS,-191,1.09091,-208.36381
100191,,GATSBY SW EV 75G,PCS,-1,81.09821,-81.09821
100239,,11 STY STYROBOX,PCS,-39,41.96417,-1636.60263
100318,,11780 LUNCH BOX,PCS,-2,7.89997,-15.79994
100319,,20697 FOOD KEEPER,PCS,-14,34.16728,-478.34192
100323,,11021 COFFEE MUG,PCS,-17,6.02657,-102.45169
100328,,05018 H POUR N FLW,PCS,-4,26.5635,-106.254
100334,,330 HD SCR PAD SM,PCS,-1,20.68317,-20.68317
100344,,141504S NET SP SNGL,PCS,-23,12.99507,-298.88661
100349,,W104 TOILET BRSH,PCS,-3,35.43742,-106.31226
100354,,31120 SHOE BRUSH,PCS,-3,31.31069,-93.93207
100357,,20819 SCRB BRUSH,PCS,-23,36.32782,-835.53986
100360,,95 HH RBR GLVE MED,PAIR,-3,39.5584,-118.6752
100363,,RT701A S MOP STD,PCS,-1,237.1636,-237.1636
100364,,TS 030 HW MP SPRYR,PCS,-4,46.35109,-185.40436
100384,,909 SFT TWINE 50G,PCS,-3,17.40783,-52.22349
100385,,910 S TWNE L 100G,ROLL,-24,31.91104,-765.86496
100386,,130849 PL TWNE 1KL,ROLL,-5,64.77234,-323.8617
100405,,NES CONT MED WC,PCS,-115,4.45656,-512.5044
100407,,NES CONT LRGE WC,PCS,-137,5.59908,-767.07396
100411,,MAND 6OZ BOT WC,PCS,-71,3.37653,-239.73363
100444,,1216 SNGL SOAP DSH,PCS,-5,28.06913,-140.34565
100457,,ABS D WTR 1500ML,BOT,-27,17.56722,-474.31494
100458,,SUMMIT S WTR 500ML,BOT,-89,6.89366,-613.53574
100459,,SUMMIT SW 1000ML,BOT,-33,11.43345,-377.30385
100460,,RAM PRK BEANS 390G,CAN,-18,27.03314,-486.59652
100467,,DOLE PA SLCD 3.06G,CAN,-1,133.44838,-133.44838
100471,,DLE PA CHNKS F 227G,CAN,-36,13.02958,-469.06488
100479,,DLE TFC MC 3.06KG,CAN,-16,122.48316,-1959.73056
100484,,RAM WHL KRNL 410G,CAN,-30,24.39608,-731.8824
100485,,RAM Y CORN 410G,CAN,-116,26.67674,-3094.50184
100486,,RAM C D PEAS 155G,CAN,-8,6.40852,-51.26816
100488,,RAM GRN PEAS 450G,CAN,-88,18.461,-1624.568
100492,,SM DYE WAX RED 225G,PCS,-72,19.19154,-1381.79088
100494,,SM WAX COL 90G,PCS,-149,8.53471,-1271.67179
100495,,SM WAX NATURL 90G,PCS,-61,8.83286,-538.80446
100496,,SM WAX RED 180G BOX,PCS,-58,17.43841,-1011.42778
100500,,DLE PA ORGE 1.36LT,CAN,-5,33.86613,-169.33065
100508,,DLE 4SSONS JCE 1.36L,CAN,-9,44.55481,-400.99329
100509,,TE KAONG WHT 8oz,BOT,-3,24.9721,-74.9163
100511,,TE KAONG GRN 12oz,BOT,-8,34.13281,-273.06248
100512,,TE KAONG RED 12oz,BOT,-6,34.13281,-204.79686
100513,,TE KAONG RED 24oz,BOT,-1,61.01339,-61.01339
100514,,TE KAONG RED 32oz,BOT,-2,68.15583,-136.31166
100515,,TE NDC GRN 12oz,BOT,-10,26.68601,-266.8601
100517,,TE NDC RED 24oz,BOT,-1,45.9987,-45.9987
100518,,TE NDC RED 12oz,BOT,-10,26.68601,-266.8601
100521,,RAM PKL CHIPS 135G,BOT,-12,27.69376,-332.32512
100529,,SEV RAISINS 200G,PACK,-68,31.66487,-2153.21116
100532,,PAPA CATSUP 320G,BOT,-55,11.08134,-609.4737
100533,,PAPA CATSUP REG HG,BOT,-100,53.70958,-5370.958
100534,,PAPA CATSUP REG 1G,GAL,-33,103.37205,-3411.27765
100535,,MB B KETCHUP 340G,BOT,-4,9.39131,-37.56524
100539,,DPUTI SOY SCE 385ML,BOT,-78,9.08028,-708.26184
100553,,PRIDE DP PW 1000G,BOX,-32,53.96971,-1727.03072
100554,,PRIDE DP PW 2000G,BOX,-21,120,-2520
100555,,PRIDE DP PW 500G,BOX,-82,31.07143,-2547.85726
100556,,SMART DWP LEM 400G,PCS,-303,26.60714,-8061.96342
100557,,PRIDE BAR KAL 380G,BAR,-211,12.74631,-2689.47141
100558,,P BAR WHT 1/4C 100G,PCS,-531,3.14493,-1669.95783
100560,,UNIQ TP MAX 100ML,PCS,-8,29.6875,-237.5
100564,,UNIQ TP ADV OC 150ML,PCS,-41,31.51278,-1292.02398
100577,,S 7 ANTI AMAG 1KL,PACK,-2,186.08165,-372.1633
100580,,ZOY INSTANT STARCH,PCS,-40,1.10728,-44.2912
100585,,AJI RED PCK 100G,PACK,-1096,11.73918,-12866.14128
100588,,AJI RED 50G,PCS,-1069,7.60878,-8133.78582
