PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
1901,,RED RICE KILO,KILO,125.749,37.85743,"4,760.53"
1902,,PANDA RICE,KILO,"1,148.46",41.43426,"47,585.63"
1903,,GOLDEN WHITE RICE,KILO,-5,22.25,-111.25
1907,,PINK RICE,KILO,-39.484,44.04762,"-1,739.18"
1910,,CORNGRITS NO 12,KILO,-73.024,28.55511,"-2,085.21"
1911,,CORNGRITS NO 14,KILO,208.091,28.6533,"5,962.49"
1917,,CAMIA RICE,KILO,"1,271.85",39.52096,"50,264.65"
1922,,GOLDEN LION PILIT,KILO,-0.347,26.81818,-9.30590846
1956,,WASHINGTON RICE,KILO,758.304,36.15329,"27,415.18"
8216,,FIT N RICE KILO,KILO,-4,-,-
8219,,PACMAN RICE KILO,KILO,-1,30.61,-30.61
8257,,MASTER CHEF RICE BLUE SACK KILO,KILO,-50.655,42.41214,"-2,148.39"
8312,,PEACOCK PILIT 1KL,KILO,-1,53.01552,-53.01552
8314,,SPECIAL RICE WHITE KILO,KILO,-3.002,48.37,-145.20674
8315,,SPECIAL RICE RED KILO,KILO,-18.004,-,-
8316,,SPECIAL RICE PINK KILO,KILO,495.385,43.03443,"21,318.61"
8317,,SPECIAL RICE PILIT KILO,KILO,93.889,44.26945,"4,156.41"
8318,,PREMIUM RICE A KILO,KILO,-5.5,43.47,-239.085
8319,,WELL MILLED RICE LOCAL KILO,KILO,-2.269,35.96404,-81.60240676
8320,,WELL MILLED RICE IMPORTED KILO,KILO,-6.286,37.69046,-236.9222316
8329,,PERFECT GRAINS RICE KILO,KILO,24.822,36.39757,903.4604825
8330,,UPLAND RED RICE KILO,KILO,1.022,46.84597,47.87658134
8333,,FARMERS DELIGHT RICE KILO,KILO,88.99,35.85181,"3,190.45"
100003,,8555 ARACELLI LAUNDRY BRUSH,PCS,6,23.40179,140.41074
100011,,8511 ARACELLI SPOON RACK,PCS,15,20.05357,300.80355
100013,,702 ARACELLI TUMBLER WITH COVER,PCS,2,12.95536,25.91072
100015,,8313 D ARACELLI DIPPER WITH DESIGN,PCS,12,21.73214,260.78568
100016,,7411 ARACELLI LUNCH BOX,PCS,1,20.89222,20.89222
100020,,7032 ARACELLI SOUP BOWL,PCS,30,9.19643,275.8929
100022,,697 ARACELLI SQUARE UTILITY TRAY,PCS,4,19.6425,78.57
100023,,9102 ARACELLI UTILITY TRAY,PCS,37,17.96429,664.67873
100024,,7910 ARACELLI FLOWER FIGURE UTILITY TRAY,PCS,1,20.0525,20.0525
100025,,8162 ARACELLI PITCHER,PCS,4,38.85714,155.42856
100026,,8481 ARACELLI PITCHER WITH DESIGN SMALL,PCS,-7,30.92,-216.44
100027,,9222 ARACELLI PITCHER PLAIN,PCS,10,44.19643,441.9643
100029,,9705 ARACELLI TWIN SOAP DISH WO COVER,PCS,17,18.38393,312.52681
100030,,9892 ARACELLI SOAP CASE PLAIN,PCS,7,8.35714,58.49998
100053,,BW BAKING CUP WHITE GLAZZINE 2oz,PCS,13,3.94643,51.30359
100054,,BW BAKING CUP COLORED GLAZZINE 5x20x3/4oz,PCS,49,2.9643,145.2507
100055,,BW BAKING CUP WHITE GLAZZINE 5x20/X3/4oz,PCS,-52,2.9643,-154.1436
100080,,302 CRESCENT SOY WITH DIVISION SQUARE,PCS,259,3.07143,795.50037
100081,,304 CRESCENT SOY DISH WHITE,PCS,424,1.84821,783.64104
100083,,7145 SUPERSTAR SAUCER WITH DESIGN,PCS,17,4.50896,76.65232
100084,,008 CRESCENT COCHINTA BOWL,PCS,-24,0.741,-17.784
100086,,1112 CRESCENT SEVENSTAR BOWL 6inches,PCS,3,7.375,22.125
100087,,1212 CRESCENT SEVENSTAR BOWL,PCS,-1,5.33042,-5.33042
100088,,307 CRESCENT PUTO BOWL,PCS,6,0.82143,4.92858
100089,,308 CRESCENT PUTO BOWL,PCS,78,1.23213,96.10614
100090,,400 CRESCENT SOAP TRAY WITH DIVISION,PCS,12,7.375,88.5
100096,,020 DMB CHAMBER POT W/PRINT,PCS,1,20.625,20.625
100098,,3732 DYNA GELATINE MOLDER WITH COVER,PCS,2,18.75,37.5
100100,,4520 2L DYNA LUNCH CARRIER,PCS,-1,58.125,-58.125
100101,,4520 3L DYNA LUNCH CARRIER,SET,7,60.9375,426.5625
100102,,6505 DYNA SAUCER,PCS,20,4.6875,93.75
100103,,2331 DYNA FLYSWATTER,PCS,47,6.5625,308.4375
100104,,2332 DYNA FLYSWATTER,PCS,74,6.08929,450.60746
