CENTRAL DISTRIBUTION CENTER,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF November 05, 2021",,,,,,
ITEM CODE,VARIANT CODE,DESCRIPTION,UOM, QUANTITY , COST W/O VAT , TOTAL COST 
100188,,NESCAFE ORIGINAL 8x30+6/28G,PACK,200,160.15,"32,030.00"
100451,,NAVY CLUB FILTER KING 500s,PACK,4010,69.87,"280,162.94"
100471,,DOLE PINEAPPLE CHUNKS FLAT 24x227G,CAN,1080,17.96,"19,399.05"
100476,,DOLE PINEAPPLE TIDBITS 24x432G,CAN,360,32.55,"11,717.70"
100479,,DOLE TF COCKTAIL MORE CHERRIES 6/3.06KG,CAN,288,175.6,"50,573.75"
100500,,DOLE PINEAPPLE ORANGE 12/1.36LT,CAN,84,58.05,"4,875.99"
100507,,DOLE FOUR SEASONS JUICE DRINK 24/240ML,CAN,768,17.29,"13,277.12"
100509,,TITA ELY KAONG WHITE 24/8oz,BOT,144,37.79,"5,441.46"
100511,,TITA ELY KAONG GREEN 24/12oz,BOT,144,51.53,"7,420.18"
100512,,TITA ELY KAONG RED 24/12oz,BOT,144,51.53,"7,420.18"
100513,,TITA ELY KAONG RED 12/24oz,BOT,132,95.42,"12,595.98"
100514,,TITA ELY KAONG RED 12/32oz,BOT,108,116.04,"12,531.86"
100515,,TITA ELY NATA DE COCO GREEN 24/12oz,BOT,312,38.55,"12,028.02"
100516,,TITA ELY NATA DE COCO GREEN 24/8oz,BOT,240,30.54,"7,328.57"
100517,,TITA ELY NATA DE COCO RED 12/24oz,BOT,168,70.61,"11,863.13"
100518,,TITA ELY NATA DE COCO RED 24/12oz,BOT,552,38.55,"21,280.34"
100531,,DATU PUTI SPICED VINEGAR 24/350ML,BOT,96,29.61,"2,842.87"
100532,,PAPA BANANA CATSUP REGULAR 24/320G,BOT,4344,17.53,"76,133.73"
100533,,PAPA BANANA CATSUP REGULAR 8/1/2 GAL,BOT,280,80.38,"22,506.09"
100534,,PAPA BANANA CATSUP REGULAR 4/1GAL,GAL,188,153.51,"28,859.13"
100537,,MOTHERS BEST BANANA KETCHUP 4/1GAL,GAL,20,118.74,"2,374.75"
100539,,DATU PUTI SOY SAUCE 24/385ML,BOT,144,14.92,"2,148.13"
100547,,STARWAX COLORLESS 72/90G,PCS,360,10.16,"3,656.57"
100548,,STARWAX NATURAL 72/90G,PCS,144,10.16,"1,462.63"
100549,,STARWAX RED 24/450G,PCS,144,67.21,"9,677.73"
100550,,STARWAX RED 12/900G,PCS,84,122.14,"10,260.01"
100551,,STARWAX DYE WAX RED 72/90G,PCS,6626,10.5,"69,544.57"
100552,,STARWAX DYE WAX RED 12/900G,CAN,120,132.72,"15,926.40"
100553,,PRIDE DET POWDER POWER WASH 12x1000G,BOX,1680,61.96,"104,090.40"
100554,,PRIDE DET POWDER POWER WASH 6x2000G,BOX,1350,122.56,"165,459.86"
100555,,PRIDE DET POWDER POWER WASH 24x500G,BOX,1128,31.66,"35,708.42"
