ALTURAS MAIN,,,,,,,
INVENTORY VALUATION REPORT,,,,,,,
"AS OF DECEMBER 31, 2021",,,,,,,
ITEM CODE,VARIANT CODE,DESCRIPTION,UOM, QUANTITY , COST W/O VAT , TOTAL COST ,
100003,,8555 ARACELLI LAUNDRY BRUSH,PCS,-3,23.40179,-70.20537,
100005,,7512 ARACELLI BABY HANGER,PCS,-10,7.10712,-71.0712,
100006,,01 ARACELLI BASIN,PCS,102,15.04464,"1,534.55",
100011,,8511 ARACELLI SPOON RACK,PCS,21,20.05357,421.12497,
100012,,9702 ARACELLI DISH DRAINER WITH COVER,PCS,1,459.64286,459.64286,
100013,,702 ARACELLI TUMBLER WITH COVER,PCS,60,12.95536,777.3216,
100014,,9225 ARACELLI TUMBLER WITH COVER,PCS,2,9.19643,18.39286,
100015,,8313 D ARACELLI DIPPER WITH DESIGN,PCS,12,21.73214,260.78568,
100018,,8532 ARACELLI PLASTIC COFFE CUP,PCS,4,7.11,28.44,
100020,,7032 ARACELLI SOUP BOWL,PCS,68,9.19643,625.35724,
100021,,310 ARACELLI UTILITY TRAY,PCS,-4,31.76,-127.04,
100022,,697 ARACELLI SQUARE UTILITY TRAY,PCS,-1,19.6429,-19.6429,
100023,,9102 ARACELLI UTILITY TRAY,PCS,-1,17.96429,-17.96429,
100024,,7910 ARACELLI FLOWER FIGURE UTILITY TRAY,PCS,9,20.05357,180.48213,
100027,,9222 ARACELLI PITCHER PLAIN,PCS,7,36.76786,257.37502,
100029,,9705 ARACELLI TWIN SOAP DISH WO COVER,PCS,33,18.38393,606.66969,
100030,,9892 ARACELLI SOAP CASE PLAIN,PCS,25,8.35714,208.9285,
100053,,BW BAKING CUP WHITE GLAZZINE 2oz,PCS,75,3.94646,295.9845,
100054,,BW BAKING CUP COLORED GLAZZINE 5x20x3/4oz,PCS,54,2.9643,160.0722,
100055,,BW BAKING CUP WHITE GLAZZINE 5x20/X3/4oz,PCS,-20,2.9643,-59.286,
100075,,504 CRESCENT FUNNEL MEDUIM,PCS,-11,4.09806,-45.07866,
100076,,506 CRESCENT FUNNEL LARGE,PCS,16,6.34821,101.57136,
100079,,7020 SUPERSTAR TUMBLER,PCS,219,4.30357,942.48183,
100080,,302 CRESCENT SOY WITH DIVISION SQUARE,PCS,144,3.07143,442.28592,
100081,,304 CRESCENT SOY DISH WHITE,PCS,-3,1.84819,-5.54457,
100082,,306 CRESCENT SOY DISH WITH DESIGN,PCS,-1,3.07139,-3.07139,
100083,,7145 SUPERSTAR SAUCER WITH DESIGN,PCS,42,4.51,189.42,
100084,,008 CRESCENT COCHINTA BOWL,PCS,-26,0.82143,-21.35718,
100085,,1111 CRESCENT BOWL 4.5inches,PCS,1,4.91964,4.91964,
100088,,307 CRESCENT PUTO BOWL,PCS,-209,1.23214,-257.51726,
100089,,308 CRESCENT PUTO BOWL,PCS,94,0.94643,88.96442,
100090,,400 CRESCENT SOAP TRAY WITH DIVISION,PCS,1,7.38,7.38,
100098,,3732 DYNA GELATINE MOLDER WITH COVER,PCS,1,18.75,18.75,
100102,,6505 DYNA SAUCER,PCS,2,4.6875,9.375,
100103,,2331 DYNA FLYSWATTER,PCS,3,6.56333,19.68999,
100104,,2332 DYNA FLYSWATTER,PCS,86,6.08923,523.67378,
100106,,022 ORIENTAL CHAMBER POT WITH PRINT,PCS,1,25.78583,25.78583,
100113,,1602 DYNA SOAP DISH PLAIN,PCS,6,9.375,56.25,
100114,,200 HI TOP TUMBLER SMALL W/O COVER,PCS,1,6.20536,6.20536,
100116,,204 HI TOP MUG SMALL,PCS,3,11.58929,34.76787,
100117,,234 HI TOP BIG MUG,PCS,-1,14.76806,-14.76806,
100123,,242 HI TOP FUNNEL SMALL,PCS,36,3.72321,134.03556,
100131,,126 HI TOP RICE SPOON,PCS,327,3.3125,"1,083.19",
100132,,272 HI TOP KIDDIE MUG BIG,PCS,-1,12.05333,-12.05333,
