ISLAND CITY MALL,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 4, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100451,,NAVY CLUB FILTER KING 500s,PACK,"1,510.00",69.86607,"105,497.77"
100454,,SPARK KLEEN POWDER 120/100G,PCS,120,3.79051,454.8612
100455,,SPARK KLEEN POWDER 24/500G,PCS,24,23.37475,560.994
100457,,ABSOLUTE DISTILLED WATER 12X1500ML,BOT,216,21.14881,"4,568.14"
100458,,SUMMIT NATURAL SPRING WATER 24/500ML,BOT,480,7.66044,"3,677.01"
100459,,SUMMIT NATURAL SPRING WATER 12/1000ML,BOT,240,13.15793,"3,157.90"
100464,,DOLE PINEAPPLE SLICED FLAT 24/227G,CAN,"5,304.00",19.78167,"104,921.98"
100465,,DOLE PINEAPPLE SLICED 24/432G,CAN,"2,088.00",28.75,"60,030.00"
100466,,DOLE PINEAPPLE SLICED 24x822G,CAN,504,67.83921,"34,190.96"
100467,,DOLE PINEAPPLE SLICED 6/3.06KG No 10,CAN,48,222.2375,"10,667.40"
100472,,DOLE PINEAPPLE CHUNKS 24x560G,CAN,672,50.21961,"33,747.58"
100478,,DOLE PINEAPPLE CRUSHED 24/567G,CAN,696,47.38382,"32,979.14"
100479,,DOLE TF COCKTAIL MORE CHERRIES 6/3.06KG,CAN,336,167.24167,"56,193.20"
100507,,DOLE FOUR SEASONS JUICE DRINK 24/240ML,CAN,"5,136.00",17.28792,"88,790.76"
100513,,TITA ELY KAONG RED 12/24oz,BOT,12,90.84375,"1,090.13"
100514,,TITA ELY KAONG RED 12/32oz,BOT,24,69.79464,"1,675.07"
100532,,PAPA BANANA CATSUP REGULAR 24/320G,BOT,"8,312.00",17.36797,"144,362.57"
100533,,PAPA BANANA CATSUP REGULAR 8/1/2 GAL,BOT,144,70.79434,"10,194.38"
100535,,MOTHERS BEST BANANA KETCHUP 24x340G,BOT,120,12.03125,"1,443.75"
100541,,DATU PUTI SOY SAUCE 12/1000ML,BOT,-12,38.69585,-464.3502
100547,,STARWAX COLORLESS 72/90G,PCS,936,10.15714,"9,507.08"
100548,,STARWAX NATURAL 72/90G,PCS,"1,872.00",10.15717,"19,014.22"
100549,,STARWAX RED 24/450G,PCS,96,63.92875,"6,137.16"
100550,,STARWAX RED 12/900G,PCS,432,122.14292,"52,765.74"
100551,,STARWAX DYE WAX RED 72/90G,PCS,"1,874.00",10.49571,"19,668.96"
100552,,STARWAX DYE WAX RED 12/900G,CAN,168,132.72002,"22,296.96"
100553,,PRIDE DET POWDER POWER WASH 12x1000G,BOX,276,61.62,"17,007.12"
100554,,PRIDE DET POWDER POWER WASH 6x2000G,BOX,162,121.88572,"19,745.49"
100555,,PRIDE DET POWDER POWER WASH 24x500G,BOX,864,31.48714,"27,204.89"
100556,,SMART DW PASTE LEMON 36/400G,PCS,"22,104.00",26.40857,"583,735.03"
100557,,PRIDE BAR KALAMANSI 36/400G,BAR,"8,856.00",13.88143,"122,933.94"
100558,,PRIDE BAR WHITE 1/4 CUT 144/100G,PCS,"6,195.00",3.555,"22,023.23"
100559,,UNIQUE TP MAXIMUM 108x50ML,PCS,432,15.74357,"6,801.22"
100561,,UNIQUE TP MAXIMUM 48x150ML,PCS,192,41.07146,"7,885.72"
100563,,UNIQUE TP FRESH BREATH 72x100ML,PCS,288,27.01801,"7,781.19"
100576,,SPRINTER BRF/SUPER PAN 1KL,PACK,580,74.13839,"43,000.27"
100577,,SUPER 7 ANTI AMAG  1KL,PACK,30,210.08929,"6,302.68"
100578,,SWALLOW MISUA WHITE 12s,PACK,500,12.63393,"6,316.97"
100579,,SQUID SPECIAL ODONG 40/12s,PACK,240,15.84821,"3,803.57"
100580,,ZOY INSTANT STARCH 400s,PCS,"1,200.00",1.38393,"1,660.72"
100587,,AJINOMOTO PANDA 1KG,PACK,156,131.85268,"20,569.02"
100592,,AJINOMOTO PANDA ORANGE 500G,PACK,192,70.08817,"13,456.93"
100596,,AJI SHIO GARLIC PLUS 18G,PCS,576,3.68304,"2,121.43"
100600,,AJINOMOTO GINISA ORIGINAL FLAVOR MIX 7G,PCS,"18,240.00",1.41429,"25,796.65"
100602,,ROYAL CHOICE JOLLY OLE CHF AP FLOUR 48x200G,BOX,432,16.00112,"6,912.48"
100605,,ROYAL CHOICE JOLLY OLE CORNSTARCH 72x75G,BOX,504,6.86602,"3,460.47"
100606,,ROYAL CHOICE JOLLY OLE CORNSTARCH 48/200G,BOX,384,12.92746,"4,964.14"
100608,,ALLATIN IODIZED SALT 60/250G,PACK,120,4.69185,563.022
100609,,ROYAL CHOICE/ALLATIN IODZ ROCK SALT 50x500G,PACK,300,6.4692,"1,940.76"
100617,,BAMBI COOKING OIL PREMIUM 10/1/2 GAL,½GAL,260,236.04286,"61,371.14"
100618,,BAMBI COOKING OIL PREMIUM 6/1GAL,GAL,197,453.76935,"89,392.56"
100619,,BAMBI COOKING OIL 48/350ML,BOT,624,46.12444,"28,781.65"
100626,,ACLEM ONIONSKIN PINK SHORT S9,REAM,4,53.3925,213.57
100648,,ALASKA CHOCOLATE UHT 185ML,BOX,108,13.91026,"1,502.31"
100649,,ALASKA SWEETENED CONDENSED FILLED MILK 168ML,CAN,"1,008.00",30.21292,"30,454.62"
100650,,ALASKA SWEETENED CONDENSED FILLED MILK 300ML,CAN,"6,960.00",43.21789,"300,796.51"
100651,,ALASKA CONDENSADA 48/300ML,CAN,"13,680.00",32.83175,"449,138.34"
100652,,ALASKA EVAPORATED FILLED MILK 48/370ML,CAN,"21,790.00",30.85961,"672,430.90"
100653,,ALASKA POWDER FILLED MILK 144/80G,PACK,"4,464.00",21.7489,"97,087.09"
100707,,GOLDEN OATS QUICK COOKING 48/200G,PACK,"1,776.00",19.37649,"34,412.65"
100708,,GOLDEN OATS QUICK 24x400G,PACK,"1,632.00",36.0971,"58,910.47"
100709,,GOLDEN OATS QUICK 12x800G,PACK,768,78.5268,"60,308.58"
100710,,GOLDEN OATS INSTANT 48/200G,PACK,480,20.72303,"9,947.05"
100711,,GOLDEN OATS INSTANT 24x400G,PACK,"1,680.00",41.57403,"69,844.37"
100712,,GOLDEN OATS INSTANT 12x800G,PACK,396,84.6875,"33,536.25"
100713,,GOLDEN OATS PLUS CHOCOLATE 48/200G,PACK,240,31.42132,"7,541.12"
100724,,RED STAR YEAST 12/800G,PACK,864,128.72024,"111,214.29"
100760,,LION TIGER REGULAR BOX,BOX,"20,746.00",12.5248,"259,839.50"
100774,,BNY BS WOMEN LAZY SUNDAY 48x30ML,PCS,27,42.14296,"1,137.86"
100781,,HAMMERHEAD GET FUELED CLIFF HANGER 24x100ML,PCS,1,75,75
100784,,BEAUTY LABO A7 CREAMY ASH 24s,PCS,6,192.05357,"1,152.32"
100785,,BEAUTY LABO B8 PURE BEIGE 24s,PCS,24,192.05375,"4,609.29"
100786,,BEAUTY LABO HY9 HONEY BLONDE 24s,PCS,18,192.05375,"3,456.97"
100791,,BEAUTY LABO N9 NATURAL BLONDE 24s,PCS,18,192.05375,"3,456.97"
100792,,ENFAMAMA Aplus CHOCO BIB 350G,BOX,168,290.6506,"48,829.30"
100793,,BEAUTY LABO 08 CANDY APRICOT 24s,PCS,24,192.05375,"4,609.29"
100794,,BEAUTY LABO R7 RASPBERRY PINK 24s,PCS,18,192.05375,"3,456.97"
