ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF APRIL 27, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
100006,,01 ARACELLI BASIN,7,12.20286,85.42
100057,,LL BTR COOKIES 250G,5,47.76786,238.84
100063,,LL EGG CURLS 150G,21,35.08929,736.88
100080,,302 C SOY WDIV SQR,19,2.67861,50.89
100085,,1111 CRES BOWL 4.5,8,2.73,21.84
100086,,1112 SVNSTR BOWL 6,16,4.55,72.8
100087,,1212 CRES S BOWL,6,3.17,19.02
100131,,126 H RICE SPOON,77,3.34819,257.81
100172,,SS 116 PUTO BWL S,191,1.09091,208.36
100191,,GATSBY SW EV 75G,1,81.09821,81.1
100239,,11 STY STYROBOX,39,41.96417,"1,636.60"
100318,,11780 LUNCH BOX,2,7.89997,15.8
100319,,20697 FOOD KEEPER,14,34.16728,478.34
100323,,11021 COFFEE MUG,17,6.02657,102.45
100328,,05018 H POUR N FLW,4,26.5635,106.25
100334,,330 HD SCR PAD SM,1,20.68317,20.68
100344,,141504S NET SP SNGL,23,12.99507,298.89
100349,,W104 TOILET BRSH,3,35.43742,106.31
100354,,31120 SHOE BRUSH,3,31.31069,93.93
100357,,20819 SCRB BRUSH,23,36.32782,835.54
100360,,95 HH RBR GLVE MED,3,39.5584,118.68
100363,,RT701A S MOP STD,1,237.1636,237.16
100364,,TS 030 HW MP SPRYR,4,46.35109,185.4
100384,,909 SFT TWINE 50G,3,17.40783,52.22
100385,,910 S TWNE L 100G,24,31.91104,765.86
100386,,130849 PL TWNE 1KL,5,64.77234,323.86
100405,,NES CONT MED WC,115,4.45656,512.5
100407,,NES CONT LRGE WC,137,5.59908,767.07
100411,,MAND 6OZ BOT WC,71,3.37653,239.73
100444,,1216 SNGL SOAP DSH,5,28.06913,140.35
100457,,ABS D WTR 1500ML,27,17.56722,474.31
100458,,SUMMIT S WTR 500ML,89,6.89366,613.54
100459,,SUMMIT SW 1000ML,33,11.43345,377.3
100460,,RAM PRK BEANS 390G,18,27.03314,486.6
100467,,DOLE PA SLCD 3.06G,1,133.44838,133.45
100471,,DLE PA CHNKS F 227G,36,13.02958,469.06
100479,,DLE TFC MC 3.06KG,16,122.48316,"1,959.73"
100484,,RAM WHL KRNL 410G,30,24.39608,731.88
100485,,RAM Y CORN 410G,116,26.67674,"3,094.50"
100486,,RAM C D PEAS 155G,8,6.40852,51.27
100488,,RAM GRN PEAS 450G,88,18.461,"1,624.57"
100492,,SM DYE WAX RED 225G,72,19.19154,"1,381.79"
100494,,SM WAX COL 90G,149,8.53471,"1,271.67"
100495,,SM WAX NATURL 90G,61,8.83286,538.8
100496,,SM WAX RED 180G BOX,58,17.43841,"1,011.43"
